R,G,B,Clear,Lux,Color_Temp_K
73,108,65,2405,941,4650
73,108,65,2405,942,4649
73,108,65,2405,941,4650
72,108,65,2414,944,4656
72,108,65,2415,944,4656
72,108,65,2415,944,4656
72,108,65,2414,944,4659
72,108,65,2414,944,4659
72,108,65,2414,943,4661
72,108,65,2413,944,4655
72,108,65,2413,944,4655
72,108,65,2413,943,4661
74,109,64,2270,903,4524
72,108,65,2400,941,4646
73,108,65,2385,936,4634
73,108,65,2377,934,4623
73,108,65,2382,936,4632
73,108,65,2385,936,4634
73,108,65,2375,934,4621
73,108,65,2380,935,4627
73,108,65,2382,935,4629
73,108,65,2389,937,4635
73,108,65,2389,937,4635
73,108,65,2365,931,4609
73,109,64,2323,916,4583
74,109,63,2227,890,4495
