R,G,B,Clear,Lux,Color_Temp_K
87,91,74,2056,494,5306
87,91,73,2054,495,5304
87,91,73,2055,497,5291
87,91,73,2052,494,5281
87,91,73,2054,494,5275
88,91,73,2044,491,5199
86,91,74,2115,515,5351
86,91,74,2120,514,5356
89,89,73,2162,486,5254
88,90,74,2149,502,5284
87,90,74,2144,507,5353
87,90,74,2147,511,5401
87,90,74,2114,500,5298
87,90,74,2115,501,5307
86,91,74,2138,513,5429
91,88,72,1909,425,5044
98,85,71,1842,359,4616
96,85,72,1839,368,4759
96,85,72,1825,366,4761
96,85,72,1829,368,4759
98,85,71,1766,346,4574
95,86,72,1756,364,4858
97,86,71,1715,349,4686
97,86,71,1730,350,4702
96,86,72,1747,356,4792
95,86,72,1751,357,4805
