R,G,B,Clear,Lux,Color_Temp_K
70,101,78,2091,659,6025
71,101,78,2007,630,6000
70,101,78,2146,679,6036
69,101,78,1928,609,6062
97,91,64,1588,412,3932
96,91,64,1549,402,3962
94,92,65,1610,425,4117
94,92,66,1605,422,4157
93,93,66,1634,434,4243
91,93,67,1681,454,4364
91,93,67,1704,461,4381
91,93,67,1697,459,4383
91,93,67,1698,459,4405
91,93,67,1706,463,4379
90,94,67,1717,469,4429
90,94,67,1717,470,4426
90,94,67,1718,469,4462
90,94,67,1708,467,4462
90,94,67,1709,468,4447
90,94,67,1707,467,4462
90,94,67,1704,466,4459
90,94,67,1697,464,4455
90,94,67,1699,464,4440
90,94,67,1696,464,4437
90,94,67,1698,463,4449
90,94,67,1693,463,4446
