R,G,B,Clear,Lux,Color_Temp_K
115,79,62,1365,225,2875
112,80,63,1455,249,3085
113,79,63,1403,233,3029
113,79,63,1401,232,3042
114,79,63,1362,225,2974
113,80,63,1357,230,3097
111,80,64,1375,237,3199
110,81,64,1431,254,3345
110,81,64,1434,254,3341
110,81,64,1435,254,3341
110,81,64,1434,254,3341
110,81,64,1437,255,3356
110,81,64,1436,253,3335
111,80,64,1384,240,3211
111,80,64,1383,239,3217
111,80,64,1378,239,3239
111,81,64,1338,235,3211
113,79,63,1340,224,3057
113,79,63,1332,221,3050
114,79,63,1333,220,3025
113,79,63,1336,220,3031
111,80,64,1466,252,3261
111,80,64,1469,252,3266
111,80,64,1470,252,3257
111,80,64,1471,252,3248
111,80,64,1472,251,3239
